game_id,week,date,away_team,home_team,away_score,home_score,location
2025-06-14-BOS-MTL,8,2025-06-14,BOS,MTL,16,15,Complexe Sportif Claude-Robillard
2025-06-14-ORE-OAK,8,2025-06-14,ORE,OAK,9,25,Fremont High School
2025-06-14-MAD-DET,8,2025-06-14,MAD,DET,31,20,Hope Sports Complex
2025-06-14-CHI-IND,8,2025-06-14,CHI,IND,26,14,Kuntz Stadium
2025-06-14-PHI-PIT,8,2025-06-14,PHI,PIT,25,16,F.N.B. Stadium
2025-06-14-DC-NY,8,2025-06-14,DC,NY,18,19,The Stadium at Memorial Field
2025-06-14-HTX-ATX,8,2025-06-14,HTX,ATX,18,20,Westlake Chaparral Stadium
2025-06-14-SD-LV,8,2025-06-14,SD,LV,23,16,Bonanza High School
2025-06-15-BOS-TOR,8,2025-06-15,BOS,TOR,26,23,Varsity Stadium
2025-06-20-PIT-CHI,9,2025-06-20,PIT,CHI,14,28,Northwestern Medicine Field at Martin Stadium 
2025-06-20-HTX-CAR,9,2025-06-20,HTX,CAR,14,28,Durham County Memorial Stadium
2025-06-20-TOR-NY,9,2025-06-20,TOR,NY,19,23,The Stadium at Memorial Field
2025-06-20-LV-COL,9,2025-06-20,LV,COL,10,26,Colorado School of Mines
2025-06-20-LA-ORE,9,2025-06-20,LA,ORE,20,19,University of Oregon - Portland 
2025-06-21-LV-OAK,9,2025-06-21,LV,OAK,10,32,Fremont High School
2025-06-21-TOR-BOS,9,2025-06-21,TOR,BOS,13,23,Hormel Stadium
2025-06-21-CHI-DET,9,2025-06-21,CHI,DET,28,10,Hope Sports Complex
2025-06-21-LA-SEA,9,2025-06-21,LA,SEA,15,20,Interbay Stadium
2025-06-21-IND-MIN,9,2025-06-21,IND,MIN,14,31,Sea Foam Stadium
2025-06-21-HTX-ATL,9,2025-06-21,HTX,ATL,17,28,Silverbacks Park
2025-06-22-DET-PIT,9,2025-06-22,DET,PIT,21,20,F.N.B. Stadium
2025-06-27-IND-CHI,10,2025-06-27,IND,CHI,12,22,Northwestern Medicine Field at Martin Stadium 
2025-06-27-MTL-DC,10,2025-06-27,MTL,DC,14,26,"Carlini Field, Catholic U"
2025-06-27-DET-MAD,10,2025-06-27,DET,MAD,19,29,Breese Stevens Field
2025-06-27-OAK-SLC,10,2025-06-27,OAK,SLC,21,25,Zion Bank Stadium
2025-06-27-COL-SEA,10,2025-06-27,COL,SEA,24,22,Interbay Stadium
2025-06-27-ATX-ATL,10,2025-06-27,ATX,ATL,9,14,Silverbacks Park
2025-06-28-CHI-DET,10,2025-06-28,CHI,DET,28,10,Hope Sports Complex
2025-06-28-MAD-IND,10,2025-06-28,MAD,IND,24,19,Kuntz Stadium
2025-06-28-PIT-TOR,10,2025-06-28,PIT,TOR,19,18,Varsity Stadium
2025-06-28-MTL-PHI,10,2025-06-28,MTL,PHI,19,20,Turf Field at Neumann 
2025-06-28-COL-ORE,10,2025-06-28,COL,ORE,19,18,University of Oregon - Portland 
2025-06-28-OAK-SD,10,2025-06-28,OAK,SD,21,16,Mission Bay High School
2025-06-28-ATX-CAR,10,2025-06-28,ATX,CAR,21,26,Durham County Memorial Stadium
2025-07-04-MIN-CHI,11,2025-07-04,MIN,CHI,15,25,Northwestern Medicine Field at Martin Stadium 
2025-07-04-TOR-MTL,11,2025-07-04,TOR,MTL,21,18,Complexe Sportif Claude-Robillard
2025-07-04-SLC-COL,11,2025-07-04,SLC,COL,24,18,Colorado School of Mines
2025-07-05-MIN-DET,11,2025-07-05,MIN,DET,25,14,Hope Sports Complex
2025-07-05-CHI-PIT,11,2025-07-05,CHI,PIT,21,19,F.N.B. Stadium
2025-07-05-IND-MAD,11,2025-07-05,IND,MAD,12,28,Breese Stevens Field
2025-07-05-SD-LA,11,2025-07-05,SD,LA,21,19,Great Park Championship Stadium
2025-07-05-SLC-LV,11,2025-07-05,SLC,LV,32,11,Bonanza High School
2025-07-05-ATX-HTX,11,2025-07-05,ATX,HTX,29,20,Sabercats Stadium
2025-07-06-DC-BOS,11,2025-07-06,DC,BOS,17,16,Hormel Stadium
2025-07-11-BOS-PHI,12,2025-07-11,BOS,PHI,15,14,Turf Field at Neumann 
2025-07-11-COL-SLC,12,2025-07-11,COL,SLC,18,21,Zion Bank Stadium
2025-07-11-LA-HTX,12,2025-07-11,LA,HTX,20,22,Sabercats Stadium
2025-07-12-DET-IND,12,2025-07-12,DET,IND,18,25,Kuntz Stadium
2025-07-12-MAD-MIN,12,2025-07-12,MAD,MIN,13,16,Sea Foam Stadium
2025-07-12-BOS-DC,12,2025-07-12,BOS,DC,16,20,"Carlini Field, Catholic U"
2025-07-12-ATL-CAR,12,2025-07-12,ATL,CAR,21,17,Durham County Memorial Stadium
2025-07-12-LA-ATX,12,2025-07-12,LA,ATX,13,20,Westlake Chaparral Stadium
2025-07-12-COL-LV,12,2025-07-12,COL,LV,33,13,Bonanza High School
2025-07-13-PHI-NY,12,2025-07-13,PHI,NY,16,24,The Stadium at Memorial Field
2025-07-18-CAR-ATX,13,2025-07-18,CAR,ATX,24,19,Westlake Chaparral Stadium
2025-07-18-MIN-SLC,13,2025-07-18,MIN,SLC,18,22,Zion Bank Stadium
2025-07-18-SEA-COL,13,2025-07-18,SEA,COL,15,24,Colorado School of Mines
2025-07-19-TOR-MTL,13,2025-07-19,TOR,MTL,16,23,Complexe Sportif Claude-Robillard
